Name,Property,Amplitude Dashboard,Amplitude Dashboard (1),Analysis Date,Bayes Outcome Report,Config Code,Don't Reshuffle 5%,Early Stopping Criteria,Exp Off: date/build,Experiment Type,Final Step,Hypothesis,Hypothesis Correct?,NHST Outcome Report,Overlappers,Owner,Platform,Power Analysis,Related to New Users Work (Property),Related to Onboarders Work (Experiment Card),Related to Trial2020 (Property),Run Dates,Screenshots,Stage,Stakeholders,Test Dates,Treatment Description,Version Number,uuid
Android: Testimonials in Onboarding,No,"Use the ""Standard Experiment Template"" or ""Onboarding Experiment Template"" here: https://analytics.amplitude.com/loseit/template/gallery",https://analytics.amplitude.com/loseit/dashboard/afswcor?source=sidebar,NA,NA,"AndTestimonialOnb(7750.l10v7tag)-_default
AndTestimonialOnb(7750.l10v7tag)-treatment",No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,"New User, Onboarding","What is the immediate action being taken when you move the card to ""Complete""?",Higher BPP in the treatment.,NA,NA,NA,Seung Kim,Android,"Post in #experiments-team, asking Robert to generate this for you. Share details of the experiment with him (or just this card)",NA,NA,NA,"April 6, 2022 → April 13, 2022",NA,Testing,"Danielle Goryl, Frank Egan","March 23, 2022 → April 6, 2022",Users will see 5 testimonials throughout onboarding,14.2.202,2d23b063-2f8c-4fdd-8c95-c43cb8a53d34
iOS: Testimonials in Onboarding,No,https://analytics.amplitude.com/loseit/dashboard/cco5pln?source=dashboard%20template?source=copy+url,NA,NA,NA,"iOSOnbSurveyType(7750.l10vho88)-_default
iOSOnbSurveyType(7750.l10vho88)-iOSOnbTest",No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,"New User, Onboarding","What is the immediate action being taken when you move the card to ""Complete""?",Higher bpp in the treatment,NA,NA,https://www.notion.so/Habit-Formation-in-Onboarding-iOS-ea96b376631543fda81c4fdd08ea287b,Seung Kim,iOS,"Post in #experiments-team, asking Robert to generate this for you. Share details of the experiment with him (or just this card)",NA,NA,NA,"April 6, 2022 → April 13, 2022",NA,Testing,"Danielle Goryl, Alex Wilson","March 28, 2022 → April 6, 2022","Users will see 5 testimonials after onboardingRestartReason, goalWeight, planningDietImprovements, planningActivityImprovements, and weekenderIntro.",14.2.200,085b1306-e489-46e3-9a5a-ba97b2188877
Habit Formation in Onboarding (iOS),No,https://analytics.amplitude.com/loseit/dashboard/za2ocu7/edit/ehdo35c,NA,NA,NA,iOSOnbSurveyType(7750.l10vho88)-iOSOnbHabit,No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,Onboarding,"What is the immediate action being taken when you move the card to ""Complete""?",What do you expect to happen?,NA,NA,NA,Nadja Arifovic,iOS,"Post in #experiments-team, asking Robert to generate this for you. Share details of the experiment with him (or just this card)",NA,NA,NA,"March 28, 2022 → April 4, 2022",Experiment%201f19a/RPReplay_Final1648487709.mp4,Running,"Danielle Goryl, Seung Kim","March 16, 2022 → March 23, 2022","This is a compilation of a couple of ideas we’ve had to incorporate more behavior modification and habit formation in onboarding. The idea here is to create some additional questions in onboarding that include some behavior suggestions. We’ve seen increases in trial take rates when we prime users with onboarding with thoughtful questions, so this is another way to get them invested in our product and show our value early. We can add one to three questions into onboarding that provide advice to show users they can get value out of our program in addition to promoting behaviors we think can drive monetization and retention.",Min version # treatment is available in — 11.5.800,30a55a68-6055-4925-8c13-217683d877bd
iOS: Lifetime IAM Appman,No,"Use the ""Standard Experiment Template"" or ""Onboarding Experiment Template"" here: https://analytics.amplitude.com/loseit/template/gallery",NA,NA,NA,"iOSAppManRulesV2Test(7753.l152da1c)-_default
iOSAppManRulesV2Test(7753.l152da1c)-_appManV2",No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,Lifetime,"What is the immediate action being taken when you move the card to ""Complete""?",What do you expect to happen?,NA,NA,NA,Seung Kim,iOS,"Post in #experiments-team, asking Robert to generate this for you. Share details of the experiment with him (or just this card)",NA,NA,NA,"March 24, 2022 → April 1, 2022",NA,Running,Danielle Goryl,NA,Slow rolling new Lifetime IAMs via Appman,14.2.100,ffcbe47a-d2e0-48f0-9da2-62719a13d5a4
iOS Calm Purchase Page,No,https://analytics.amplitude.com/loseit/dashboard/gu4f6w1,NA,"April 1, 2022",NA,"premium-upgrade-page-v2(7753.l152eexk)-_default
premium-upgrade-page-v2(7753.l152eexk)-iOSCalm",No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,Purchase Page,"What is the immediate action being taken when you move the card to ""Complete""?",Higher bpp in the treatment,NA,NA,NA,Seung Kim,iOS,NA,NA,NA,NA,"March 24, 2022 → March 31, 2022","Experiment%201f19a/File_(1).jpg, Experiment%201f19a/File_(2).jpg",Running,"Danielle Goryl, Caitlin Migdail","March 21, 2022 → March 24, 2022","Treatment: new Calm-style purchase page with full and half price yearly offers 
Control: our multi-product purchase page offering yearly & quarterly plans.",14.2.100,ad55ca21-344f-4480-a7d3-c1de42547876
Non-English Android Full SG Onboarding,No,https://analytics.amplitude.com/loseit/dashboard/idaaisn,NA,"April 7, 2022",NA,"AndNonEnglishOnb(7729.l06ujypk)-treatment
AndNonEnglishOnb(7729.l06ujypk)-_default",No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,"New User, Onboarding","What is the immediate action being taken when you move the card to ""Complete""?","Increased bookings from treatment

But really we just want to monitor moving folks to the new flow.",NA,NA,NA,Seung Kim,Android,NA,NA,NA,NA,"March 16, 2022 → March 30, 2022",NA,Running,"Frank Egan, Danielle Goryl","February 25, 2022 → March 1, 2022","Treatment: full SG extreme onboarding with weekend-focused budget preset
Control: Super old thing that we shoulda migrated people off of in February but forgot to",14.1.602,3c7e58ab-8516-405c-bbe2-c3963b7afee6
"Price Test ($60, iOS only)",No,https://analytics.amplitude.com/loseit/dashboard/jwzhg27,NA,"March 25, 2022",NA,"iOSProductPricesV3(7729.l06so64g)-iOSPriceTest60
iOSProductPricesV3(7729.l06so64g)-_default
(min userId = 45235900)",No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,New User,This price test will be turned off. We’ll try testing other price points following this and this data will help inform decisions around Premium price point.,"We expect to see a decrease in total purchases and trial takes but that the higher price point may compensate. These increases have lost in the past, but it is still important to test if we want to consider raising base price.",NA,NA,https://www.notion.so/iOS-Calculating-Plan-in-Onboarding-4d7ed0474f644868af7bda3fbcbe8f58,"Danielle Goryl, Seung Kim",iOS,"Post in #experiments-team, asking Robert to generate this for you. Share details of the experiment with him (or just this card)",NA,NA,NA,"March 4, 2022 → March 16, 2022","Experiment%201f19a/IMG_0793.png, Experiment%201f19a/IMG_0800.png, Experiment%201f19a/IMG_0802.png, Experiment%201f19a/IMG_0816.png",Analysis,"Erin Webster-Shaller, Paul Apollo","February 17, 2022 → February 21, 2022","New Users on iOS will see a base price of $59.99 (instead of $39.99). They will be offered a $59.99 trial, $29.99 for new user sale and $39.99 price for standard sale. For nonsale and outside of promotions, user will see full price of $59.99.",14.1.500,94b7d78f-2504-4494-bf8b-a6905262544f
iOS Calculating Plan in Onboarding,No,https://analytics.amplitude.com/loseit/dashboard/6n8nsbq,NA,"March 25, 2022",NA,"iOSOnbLoadingScreen(7729.l06sl5bs)-iOSOnbLoading
iOSOnbLoadingScreen(7729.l06sl5bs)-_default",No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",14.2.100,"New User, Onboarding","What is the immediate action being taken when you move the card to ""Complete""?",Higher bpp in the treatment,NA,NA,NA,Seung Kim,iOS,"Post in #experiments-team, asking Robert to generate this for you. Share details of the experiment with him (or just this card)",NA,NA,NA,"March 2, 2022 → March 14, 2022",NA,Analysis,Danielle Goryl,"February 25, 2022 → February 28, 2022","Treatment: Users will see a loading gif between strategyDone and planSelection steps
Control: Users will not see the loading gif and go straight to planSelection after strategyDone",14.1.600,c3666c6b-b11d-4b3c-956b-23a65a358abe
Android Purchase Page Fixes on Trial Page,No,https://analytics.amplitude.com/loseit/chart/17oa291/edit/7pjnusj,https://analytics.amplitude.com/loseit/dashboard/rk6d333/edit/hqx5ilg,"March 22, 2022",Experiment%201f19a/android_purchase_page_trial_fix_mar01_mar21_bayes.pdf,AndIsoTrial,No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,Trial,NA,The changes will reduce the number of trial start issues we have on android,No,Experiment%201f19a/android_purchase_page_trial_fix_mar01_mar21_nhst.pdf,NA,Erin Webster-Shaller,Android,"Post in #experiments-team, asking Robert to generate this for you. Share details of the experiment with him (or just this card)",NA,NA,NA,"March 1, 2022 → March 21, 2022",NA,Analysis,"Danielle Goryl, Seung Kim, Nadja Arifovic","February 22, 2022 → March 5, 2022",Fixes to the trial page that have the new purchase code included.,Min version # treatment is available in — 11.5.800,3803a547-ad00-4e40-8a95-0569c60172e7
Non-English iOS Budget Presets Onboarding,No,https://analytics.amplitude.com/loseit/dashboard/dcybuth,NA,"March 11, 2022","Experiment%201f19a/budget_preset_ios_non_eng_onb_bayes.pdf, Experiment%201f19a/non_eng_ios_budget_presets_onb-bayes.pdf, Experiment%201f19a/non_eng_ios_budget_presets_onb_mar1_2.pdf, Experiment%201f19a/non_eng_ios_budget_presets_onb_mar11.pdf","iOSNonEnglishFlex(7695.kyuov420)-nEnFlx
iOSNonEnglishFlex(7695.kyuov420)-_default",No,NA,NA,Onboarding,"What is the immediate action being taken when you move the card to ""Complete""?","This should increase bookings by a small margin. We'll have more people configure the budget (bc the flex question was +7% for ""yes"". I think this should serve more people. 

No impact on engagemnet",NA,"Experiment%201f19a/budget_preset_ios_non_eng_onb_nhst.pdf, Experiment%201f19a/non_eng_ios_budget_presets_onb_mar11-nhst.pdf",NA,Seung Kim,iOS,NA,NA,NA,NA,"February 10, 2022 → March 3, 2022",NA,Analysis,Danielle Goryl,"December 9, 2021 → December 16, 2021","Treatment: Offered Weekender, Early Weekender, Focused Weekender, and flexible budgets in onboarding. Uses code and not bigImages

Control: no premium budget stuff is in onboarding",14.1.400 has 50%,2c83123b-30ef-4408-99b5-0ac0c726a3fd
